record_number,federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,provider_phone_number,provider_ssa_county_code,provider_county_name,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,rn_staffing_rating,rn_staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,reported_physical_therapist_staffing_hours_per_resident_per_day,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_number_of_complaint_health_deficiencies,rating_cycle_2_health_deficiency_score,rating_cycle_2_number_of_health_revisits,rating_cycle_2_health_revisit_score,rating_cycle_2_total_health_score,rating_cycle_3_standard_health_survey_date,rating_cycle_3_total_number_of_health_deficiencies,rating_cycle_3_number_of_standard_health_deficiencies,rating_cycle_3_number_of_complaint_health_deficiencies,rating_cycle_3_health_deficiency_score,rating_cycle_3_number_of_health_revisits,rating_cycle_3_health_revisit_score,rating_cycle_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,processing_date,County,County_Code,FIPS,nurse_aide_hours_per_week,lpn_hours_per_week,rn_hours_per_week,physical_therapist_hours_per_week,total_staff_hours_per_week
45741,345000,AUTUMN CARE OF BISCOE,401 LAMBERT ROAD,BISCOE,NC,27209,9104282117,610,Montgomery,For profit - Corporation,141,77.6,,Medicare and Medicaid,N,AUTUMN CARE OF BISCOE LLC,1980-01-01,N,,N,Y,N,Resident,Yes,2,,2,,4,,3,,5,,2,,2,,,,1.51629,0.67272,0.32587,0.99859,2.51488,0.0422,2.11193,0.73440,0.35873,3.20506,1.47646,0.67902,0.34664,2.49469,2019-06-13,14,10,6,64,1,0,64,2018-04-12,15,14,0,80,1,0,80,2017-03-29,5,5,0,20,1,0,20,62.000,0,7,1,1,9298,0,1,"401 LAMBERT ROAD,BISCOE,NC,27209",2021-10-01,Montgomery,123,37123,824,365,177,23,1389
45746,345001,HILLCREST CONVALESCENT CENTER,1417 W PETTIGREW STREET,DURHAM,NC,27705,9192867705,310,Durham,For profit - Corporation,86,79.4,,Medicare and Medicaid,N,"HILLCREST CONVALESCENT CENTER, INC.",1967-01-01,N,,N,N,N,Resident,Yes,4,,4,,4,,3,,5,,4,,3,,,,3.45502,1.092,0.77582,1.86783,5.32284,0.36989,2.07885,0.83609,0.48331,3.39825,3.41779,0.96817,0.61254,4.97993,2021-03-11,1,1,0,8,1,0,8,2020-01-30,0,0,0,0,0,0,0,2018-12-20,3,1,2,16,1,0,16,6.667,0,2,0,1,4891,0,1,"1417 W PETTIGREW STREET,DURHAM,NC,27705",2021-10-01,Durham,63,37063,1920,607,431,206,3164
45751,345002,CYPRESS POINTE REHABILITATION CENTER,2006 SOUTH 16TH STREET,WILMINGTON,NC,28401,9107636271,640,New Hanover,For profit - Corporation,90,71.3,,Medicare and Medicaid,N,CYPRESS POINTE REHABILITATION CENTER LLC,1976-06-01,N,,N,N,N,Resident,Yes,3,,3,,4,,4,,5,,2,,2,,,,1.87481,0.80046,0.53814,1.33860,3.21341,0.14777,2.04782,0.83623,0.43306,3.31710,1.88272,0.70958,0.47418,3.07994,2021-06-25,1,1,0,4,1,0,4,2019-05-09,6,5,2,28,1,0,28,2018-05-25,11,11,0,52,1,0,52,20.000,0,5,0,0,0,0,0,"2006 SOUTH 16TH STREET,WILMINGTON,NC,28401",2021-10-01,New Hanover,129,37129,936,400,269,74,1679
45756,345003,SILAS CREEK REHABILITATION CENTER,3350 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,3367650550,330,Forsyth,Non profit - Corporation,90,63.1,,Medicare and Medicaid,N,SILAS CREEK REHABILITATION CENTER LLC,1976-06-01,N,,N,N,N,None,Yes,5,,5,,5,,5,,5,,2,,2,,,,1.88982,1.0444,0.43832,1.48272,3.37254,0.17883,1.91561,0.80436,0.41805,3.13802,2.02878,0.96250,0.40008,3.41694,2021-04-15,1,1,0,4,1,0,4,2019-06-06,1,1,0,4,1,0,4,2018-07-11,2,2,0,16,1,0,16,6.000,0,0,0,0,0,0,0,"3350 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103",2021-10-01,Forsyth,67,37067,835,461,194,79,1569
45761,345004,PERSON MEMORIAL HOSPITAL,615 RIDGE ROAD,ROXBORO,NC,27573,3365035707,720,Person,For profit - Limited Liability company,56,56.6,,Medicare and Medicaid,Y,DLP PERSON MEMORIAL HOSPITAL LLC,1967-01-01,N,SFF Candidate,N,Y,N,Resident,Yes,1,,1,,2,,2,,2,,3,,3,,,,1.8384,0.77896,0.60964,1.38861,3.22700,0.05764,1.90909,0.65640,0.34181,2.90730,1.98031,0.87969,0.68060,3.52895,2019-08-08,6,6,0,28,1,0,28,2018-08-30,4,3,1,40,1,0,40,2017-09-12,28,27,1,633,2,317,950,185.667,0,1,0,2,8349,0,2,"615 RIDGE ROAD,ROXBORO,NC,27573",2021-10-01,Person,145,37145,728,309,242,23,1302
45766,345006,BLUMENTHAL NURSING & REHABILITATION CENTER,3724 WIRELESS DRIVE,GREENSBORO,NC,27455,3365409991,400,Guilford,For profit - Corporation,134,111.1,,Medicare and Medicaid,N,"UNIVERSAL HEALTH CARE/BLUMENTHAL, INC.",1967-01-01,N,,N,N,N,Resident,Yes,2,,2,,5,,5,,4,,1,,1,,,,2.11936,0.93768,0.35842,1.29609,3.41545,0.08984,2.10972,0.83350,0.47580,3.41901,2.06586,0.83394,0.28745,3.17602,2021-06-24,17,17,6,100,1,0,100,2019-03-14,7,7,0,52,1,0,52,2018-03-15,6,5,1,28,1,0,28,72.000,0,23,0,2,13536,0,2,"3724 WIRELESS DRIVE,GREENSBORO,NC,27455",2021-10-01,Guilford,81,37081,1648,729,279,70,2726
45771,345008,"THE CITADEL AT MYERS PARK, LLC",300 PROVIDENCE ROAD,CHARLOTTE,NC,28207,7043341671,590,Mecklenburg,For profit - Limited Liability company,133,59.9,,Medicare and Medicaid,N,CITADEL AT MYERS PARK LLC,1980-01-01,N,,N,N,N,Resident,Yes,1,,1,,1,,1,,1,,2,,2,,,,1.81632,1.42584,0.43819,1.86403,3.68035,0.03943,2.06566,0.77773,0.39719,3.24058,1.80823,1.35902,0.42097,3.61079,2021-03-26,7,4,4,123,1,0,123,2019-02-21,13,9,2,160,1,0,160,2018-03-22,10,8,2,103,1,0,103,132.000,0,10,3,5,147416,1,6,"300 PROVIDENCE ROAD,CHARLOTTE,NC,28207",2021-10-01,Mecklenburg,119,37119,762,598,184,17,1561
45776,345009,THE OAKS AT WHITAKER GLEN-MAYVIEW,513 EAST WHITAKER MILL ROAD,RALEIGH,NC,27608,9198282348,910,Wake,For profit - Corporation,91,76.9,,Medicare and Medicaid,N,"WHITAKER GLEN, INC.",1967-01-01,N,,N,N,N,Both,Yes,2,,2,,3,,2,,5,,3,,3,,,,2.05394,1.34701,0.49171,1.83872,3.89266,0.18781,2.22369,0.66794,0.28414,3.17577,1.89947,1.49492,0.66033,3.89701,2020-03-12,20,13,10,112,1,0,112,2019-04-18,10,7,2,36,1,0,36,2018-05-17,6,2,4,24,1,0,24,72.000,0,18,1,4,41753,0,4,"513 EAST WHITAKER MILL ROAD,RALEIGH,NC,27608",2021-10-01,Wake,183,37183,1106,725,265,101,2197
45781,345010,ACCORDIUS HEALTH AT ASHEVILLE,500 BEAVERDAM ROAD,ASHEVILLE,NC,28804,8282548833,100,Buncombe,For profit - Corporation,77,57.5,,Medicare and Medicaid,N,ACCORDIUS HEALTH AT ASHEVILLE LLC,1967-10-01,N,,N,N,N,Resident,Yes,2,,2,,4,,4,,3,,3,,3,,,,2.19217,0.70728,0.60984,1.31712,3.50929,0.03323,1.91221,0.78126,0.43296,3.12643,2.35753,0.67108,0.53748,3.56866,2019-11-01,6,3,1,28,1,0,28,2019-01-25,12,9,3,60,2,30,90,2018-04-19,11,6,5,48,1,0,48,52.000,0,6,5,3,47913,1,4,"500 BEAVERDAM ROAD,ASHEVILLE,NC,28804",2021-10-01,Buncombe,21,37021,882,285,245,13,1425
45786,345011,ACCORDIUS HEALTH AT LEXINGTON,279 BRIAN CENTER DRIVE,LEXINGTON,NC,27292,3362497521,280,Davidson,For profit - Corporation,106,73.1,,Medicare and Medicaid,N,ACCORDIUS HEALTH AT LEXINGTON LLC,1976-02-01,N,,N,N,N,Resident,Yes,1,,2,,3,,1,,5,,1,,1,,,,1.8624,1.08387,0.47975,1.56362,3.42602,0.04458,2.07264,0.84022,0.59289,3.50575,1.84786,0.95625,0.30877,3.10702,2021-03-18,17,13,10,76,1,0,76,2019-11-20,5,5,2,16,1,0,16,2018-09-13,19,13,6,80,1,0,80,56.667,0,40,0,0,0,0,0,"279 BRIAN CENTER DRIVE,LEXINGTON,NC,27292",2021-10-01,Davidson,57,37057,953,555,245,23,1776
