Category,Alamance Regional Medical Center,Alleghany Memorial Hospital,Angel Medical Center,Annie Penn Hospital,Anson County Hospital,Ashe Memorial Hospital,Betsy Johnson Hospital,Blue Ridge HealthCare Hospitals,Blue Ridge Regional Hospital,CMC - Pineville,Caldwell Memorial Hospital,Cape Fear Valley Health System,Cape Fear Valley Hoke Hospital,Cape Fear Valley-Bladen County Hospital,CaroMont Regional Medical Center,CarolinaEast Medical Center,Carolinas HealthCare System Carolinas Medical Center,Carolinas HealthCare System Kings Mountain Hospital,Carolinas HealthCare System University Hospital,Carolinas Medical Center - Lincoln,Carolinas Medical Center Northeast,Carteret County General Hospital,Catawba Valley Medical Center,Central Carolina Hospital,Central Harnett Health,Charles A. Cannon Jr. Memorial Hospital,Chatham Hospital,Cleveland Regional Medical Center,Columbus Regional Healthcare System,Cone Health,ContinueCare University NC,Davie County Hospital,Davis Medical Center,Duke Raleigh,Duke Regional Hospital,Duke University Medical Center,First Health Montgomery Hospital,First Health Moore Regional Hospital,First Health Richmond Memorial Hospital,FirstHealth Moore Regional Hospital - Hamlet,FirstHealth Moore Regional Hospital - Hoke Campus,Frye Regional Medical Center,Granville Health System,Halifax Regional Medical Center,Haywood Regional Medical Center,High Point Regional Hospital,Highlands-Cashiers Hospital,Hugh Chatham Memorial Hospital,Iredell Health System,J. Arthur Dosher Memorial Hospital,Johnston Health Clayton,Johnston Health Smithfield,Lake Norman Regional Medical Center,Lenoir Memorial Hospital,Lexington Memorial Hospital,LifeBrite Community Hospital of Stokes,Margaret R. Pardee Memorial Hospital,Maria Parham Hospital,Martin General Hospital,McDowell Hospital,MedWest Harris,MedWest Swain,Mission Hospital,Murphy Medical Center,Nash Health Care System,New Hanover Regional Medical Center,North Carolina Specialty Hospital,Northern Hospital of Surry County,Novant Health Brunswick Medical Center,Novant Health Charlotte Orthopedic Hospital,Novant Health Clemmons Medical Center,Novant Health Forsyth Medical Center,Novant Health Huntersville Medical Center,Novant Health Kernersville Medical Center,Novant Health Matthews Medical Center,Novant Health Medical Park Hospital,Novant Health Presbyterian Medical Center,Novant Health Rowan Medical Center,Novant Health Thomasville Medical Center,Onslow Memorial Hospital,Outer Banks Hospital,Park Ridge Health,Pender Memorial Hospital,Person County Memorial Hospital,Randolph Hospital,Rex Healthcare,Rutherford Hospital,Saint Luke's Hospital,Sampson County Memorial Hospital,Scotland Health Care System,Sentara Albemarle Medical Center,Southeastern Regional Medical Center,Stanly Regional Medical Center,Transylvania Regional Hospital,UNC Hillsborough,UNC Rockingham Health Center,Union Regional Medical Center,University of North Carolina Hospitals,Vidant Beaufort Hospital,Vidant Bertie Hospital,Vidant Chowan Hospital,Vidant Duplin Hospital,Vidant Edgecombe Hospital,Vidant Medical Center,Vidant Roanoke-Chowan Hospital,Wake Forest Baptist Health - Wilkes Medical Center,Wake Forest Baptist Medical Center,WakeMed,WakeMed Cary,WakeMed North Family Health& Woman's Hospital,Washington County Hospital,Watauga Medical Center,Wayne Memorial Hospital,Wilson Memorial Hospital,Actual,Calculated,Difference
Age Group 1 - 17 years,46.0,,2.0,,,25.0,143.0,16.0,3.0,33.0,56.0,1041.0,,21.0,650.0,39.0,5689.0,,19.0,51.0,523.0,53.0,166.0,60.0,,,17.0,97.0,91.0,1705.0,,,49.0,24.0,43.0,3267.0,,133.0,71.0,,3.0,21.0,35.0,34.0,7.0,110.0,,28.0,85.0,,9.0,13.0,6.0,61.0,31.0,1.0,42.0,49.0,28.0,11.0,87.0,,1677.0,11.0,18.0,1124.0,,39.0,24.0,19.0,,151.0,13.0,3.0,18.0,,2240.0,54.0,51.0,130.0,2.0,8.0,,1.0,94.0,22.0,31.0,2.0,48.0,62.0,12.0,502.0,7.0,1.0,,50.0,154.0,4164.0,6.0,,17.0,49.0,10.0,1675.0,23.0,30.0,3954.0,1801.0,17.0,8.0,,36.0,227.0,51.0,33430.0,66860.0,0.0
Age Group 18 - 44 years,2890.0,14.0,129.0,348.0,54.0,203.0,701.0,2134.0,52.0,4391.0,747.0,10411.0,276.0,312.0,5185.0,2734.0,19139.0,1049.0,2889.0,1057.0,5571.0,1295.0,4091.0,1399.0,271.0,465.0,110.0,1904.0,836.0,12703.0,19.0,98.0,1775.0,1236.0,4585.0,10440.0,24.0,4941.0,311.0,,134.0,1935.0,549.0,1378.0,1168.0,4178.0,7.0,818.0,1338.0,34.0,1218.0,2188.0,1135.0,958.0,611.0,15.0,1506.0,1047.0,282.0,529.0,932.0,28.0,9527.0,288.0,2758.0,9428.0,57.0,732.0,903.0,134.0,103.0,10797.0,2498.0,561.0,3313.0,127.0,9339.0,2607.0,1124.0,2207.0,374.0,1172.0,71.0,108.0,991.0,7382.0,1086.0,83.0,671.0,1527.0,1021.0,3340.0,1065.0,151.0,445.0,771.0,2107.0,12440.0,1088.0,21.0,413.0,1315.0,725.0,10452.0,1412.0,717.0,6817.0,8885.0,3864.0,1166.0,16.0,948.0,2543.0,1520.0,261987.0,523974.0,0.0
Age Group 45 - 64 years,2937.0,69.0,371.0,954.0,100.0,281.0,539.0,2359.0,177.0,4303.0,1155.0,10041.0,452.0,251.0,6935.0,3981.0,17854.0,901.0,1844.0,1378.0,6337.0,1387.0,3007.0,1051.0,537.0,248.0,204.0,2231.0,1055.0,11534.0,42.0,596.0,1097.0,3201.0,4758.0,12243.0,39.0,6104.0,811.0,1.0,165.0,2838.0,646.0,1537.0,1572.0,4716.0,30.0,861.0,2205.0,210.0,626.0,2255.0,1249.0,1652.0,899.0,53.0,2171.0,1328.0,245.0,612.0,850.0,44.0,10513.0,425.0,3232.0,10328.0,649.0,984.0,1020.0,1203.0,681.0,9311.0,1534.0,1002.0,2218.0,417.0,5401.0,3036.0,1251.0,1656.0,245.0,940.0,113.0,305.0,1104.0,7105.0,1163.0,320.0,684.0,1663.0,1385.0,3634.0,930.0,377.0,1134.0,730.0,2638.0,10004.0,939.0,74.0,287.0,973.0,949.0,11660.0,1249.0,839.0,12551.0,8255.0,2721.0,163.0,46.0,933.0,2895.0,1825.0,275823.0,551646.0,0.0
Age Group 65 - 84 years,3519.0,153.0,780.0,1343.0,98.0,526.0,700.0,2094.0,340.0,6755.0,1546.0,10129.0,458.0,294.0,7658.0,5530.0,14131.0,584.0,1723.0,1533.0,8323.0,2366.0,3175.0,1388.0,563.0,242.0,221.0,3221.0,1496.0,13330.0,83.0,741.0,819.0,4191.0,4847.0,12752.0,79.0,8316.0,986.0,3.0,217.0,3282.0,752.0,1830.0,2208.0,5238.0,98.0,1409.0,3339.0,546.0,977.0,2352.0,1748.0,2028.0,1141.0,95.0,3127.0,1730.0,374.0,742.0,1289.0,67.0,14628.0,774.0,3591.0,13902.0,815.0,1698.0,1838.0,1443.0,1039.0,12570.0,2400.0,1115.0,3397.0,341.0,5814.0,3109.0,1696.0,1885.0,404.0,1396.0,176.0,395.0,1576.0,11213.0,1342.0,659.0,1132.0,1907.0,1925.0,3727.0,1332.0,727.0,1194.0,986.0,3062.0,7499.0,1228.0,195.0,552.0,829.0,1237.0,12778.0,1223.0,1237.0,12199.0,9291.0,3591.0,183.0,72.0,1749.0,3809.0,2226.0,326731.0,653462.0,0.0
Age Group 85 or more years,1180.0,82.0,304.0,410.0,43.0,238.0,234.0,477.0,95.0,1787.0,379.0,2198.0,83.0,112.0,1715.0,1218.0,2014.0,129.0,353.0,464.0,1654.0,603.0,778.0,369.0,145.0,108.0,113.0,792.0,353.0,3223.0,5.0,155.0,163.0,804.0,1156.0,1761.0,38.0,1985.0,196.0,,64.0,725.0,241.0,507.0,615.0,1376.0,64.0,437.0,774.0,141.0,294.0,475.0,482.0,614.0,302.0,61.0,975.0,442.0,160.0,189.0,303.0,31.0,3127.0,180.0,979.0,3000.0,39.0,570.0,360.0,55.0,113.0,3204.0,685.0,355.0,1220.0,17.0,1330.0,809.0,355.0,456.0,110.0,421.0,67.0,167.0,436.0,2732.0,347.0,197.0,352.0,371.0,537.0,760.0,386.0,280.0,375.0,303.0,696.0,1016.0,346.0,83.0,197.0,264.0,368.0,2086.0,396.0,438.0,1814.0,2106.0,1295.0,33.0,26.0,481.0,910.0,715.0,75153.0,150306.0,0.0
Age Group Less than 1 Year,279.0,,,1.0,,34.0,295.0,208.0,1.0,1168.0,190.0,1826.0,,44.0,1362.0,296.0,5102.0,,626.0,226.0,1286.0,363.0,799.0,288.0,,,3.0,547.0,97.0,1590.0,,,291.0,,810.0,2375.0,,619.0,31.0,,,89.0,57.0,154.0,91.0,451.0,,169.0,268.0,,160.0,221.0,184.0,92.0,145.0,,127.0,108.0,75.0,139.0,507.0,,2841.0,98.0,665.0,1972.0,,133.0,229.0,,,2418.0,629.0,,895.0,,3008.0,349.0,218.0,864.0,133.0,321.0,,,204.0,1758.0,75.0,,279.0,208.0,178.0,530.0,264.0,,,83.0,613.0,2839.0,80.0,,67.0,137.0,150.0,2508.0,104.0,104.0,1319.0,2711.0,957.0,528.0,,165.0,452.0,165.0,55045.0,110090.0,0.0
Patient Disposition Court/Law Enforcement,5.0,,1.0,4.0,7.0,3.0,2.0,51.0,,1.0,1.0,,,1.0,22.0,,119.0,6.0,1.0,3.0,33.0,2.0,,1.0,7.0,1.0,,6.0,22.0,33.0,,,11.0,,5.0,6.0,1.0,74.0,,,,3.0,91.0,26.0,2.0,4.0,,1.0,3.0,,1.0,19.0,,10.0,1.0,1.0,7.0,4.0,,,,,72.0,3.0,26.0,48.0,2.0,6.0,2.0,,,9.0,,,1.0,,16.0,35.0,5.0,4.0,,,5.0,,25.0,17.0,6.0,3.0,,34.0,7.0,4.0,26.0,1.0,,,34.0,22.0,10.0,,4.0,11.0,5.0,214.0,8.0,10.0,40.0,136.0,,,,1.0,9.0,,1463.0,2926.0,0.0
"Patient Disposition Discharged, transferred",25.0,,2.0,6.0,1.0,,4.0,85.0,3.0,355.0,6.0,976.0,,,334.0,223.0,1739.0,26.0,97.0,68.0,502.0,17.0,60.0,7.0,8.0,1.0,2.0,145.0,3.0,722.0,11.0,1.0,11.0,190.0,220.0,521.0,,248.0,8.0,,4.0,114.0,8.0,41.0,7.0,308.0,,8.0,2.0,25.0,11.0,11.0,6.0,50.0,1.0,,85.0,60.0,2.0,12.0,28.0,1.0,1250.0,4.0,247.0,604.0,1.0,5.0,11.0,17.0,4.0,750.0,26.0,15.0,38.0,1.0,158.0,120.0,24.0,6.0,4.0,21.0,3.0,2.0,4.0,173.0,18.0,16.0,5.0,89.0,3.0,110.0,12.0,11.0,28.0,15.0,136.0,768.0,18.0,1.0,7.0,12.0,60.0,1106.0,12.0,4.0,673.0,1036.0,162.0,7.0,,5.0,47.0,31.0,15291.0,30582.0,0.0
"Patient Disposition Discharged, transferred to acute facility",185.0,16.0,92.0,21.0,24.0,114.0,207.0,178.0,90.0,264.0,174.0,594.0,25.0,37.0,187.0,247.0,332.0,88.0,160.0,165.0,182.0,310.0,241.0,190.0,202.0,40.0,62.0,297.0,215.0,320.0,10.0,49.0,106.0,140.0,499.0,393.0,18.0,307.0,31.0,,9.0,173.0,142.0,396.0,165.0,240.0,21.0,219.0,256.0,52.0,130.0,222.0,81.0,285.0,177.0,12.0,209.0,261.0,70.0,148.0,260.0,20.0,267.0,124.0,405.0,379.0,21.0,218.0,250.0,6.0,20.0,438.0,326.0,58.0,402.0,30.0,158.0,356.0,319.0,364.0,70.0,126.0,35.0,83.0,260.0,321.0,132.0,23.0,271.0,255.0,343.0,332.0,241.0,135.0,15.0,162.0,183.0,585.0,181.0,38.0,94.0,197.0,199.0,417.0,292.0,193.0,224.0,363.0,295.0,7.0,7.0,190.0,358.0,304.0,21432.0,42864.0,0.0
"Patient Disposition Discharged, transferred to facility that provides nursing, custodial, or supportive care",1510.0,85.0,277.0,444.0,53.0,251.0,308.0,968.0,85.0,2034.0,671.0,3313.0,99.0,109.0,2464.0,1448.0,3972.0,119.0,533.0,568.0,2563.0,874.0,1380.0,528.0,196.0,95.0,105.0,1111.0,658.0,4619.0,58.0,163.0,210.0,1297.0,1779.0,3637.0,14.0,2589.0,285.0,,64.0,908.0,298.0,661.0,885.0,1881.0,42.0,490.0,1170.0,61.0,341.0,951.0,587.0,791.0,487.0,74.0,1459.0,648.0,192.0,233.0,568.0,40.0,5953.0,338.0,1222.0,4636.0,116.0,615.0,421.0,336.0,197.0,4407.0,756.0,344.0,1026.0,15.0,1841.0,1256.0,514.0,716.0,153.0,588.0,71.0,183.0,711.0,3497.0,494.0,229.0,415.0,558.0,722.0,1275.0,534.0,321.0,539.0,422.0,1245.0,2258.0,423.0,89.0,253.0,424.0,498.0,3108.0,574.0,701.0,3951.0,3251.0,1197.0,30.0,45.0,782.0,1262.0,1078.0,110893.0,221786.0,0.0
