County,Date,Cumulative_Cases,New_Cases
Alamance,2020-03-09,0.0,0.0
Alamance,2020-03-10,0.0,0.0
Alamance,2020-03-11,0.0,0.0
Alamance,2020-03-12,0.0,0.0
Alamance,2020-03-13,0.0,0.0
Alamance,2020-03-14,0.0,0.0
Alamance,2020-03-15,0.0,0.0
Alamance,2020-03-16,0.0,0.0
Alamance,2020-03-17,0.0,0.0
Alamance,2020-03-18,0.0,0.0
Alamance,2020-03-19,0.0,0.0
Alamance,2020-03-20,0.0,0.0
Alamance,2020-03-21,0.0,0.0
Alamance,2020-03-22,0.0,0.0
Alamance,2020-03-23,3.0,0.0
Alamance,2020-03-24,3.0,0.0
Alamance,2020-03-25,3.0,0.0
Alamance,2020-03-26,4.0,1.0
Alamance,2020-03-27,5.0,1.0
Alamance,2020-03-28,5.0,0.0
Alamance,2020-03-29,6.0,1.0
Alamance,2020-03-30,7.0,1.0
Alamance,2020-03-31,7.0,0.0
Alamance,2020-04-01,7.0,0.0
Alamance,2020-04-02,13.0,6.0
Alamance,2020-04-03,14.0,1.0
Alamance,2020-04-04,16.0,2.0
Alamance,2020-04-05,18.0,2.0
Alamance,2020-04-06,18.0,0.0
Alamance,2020-04-07,24.0,6.0
Alamance,2020-04-08,27.0,3.0
Alamance,2020-04-09,29.0,2.0
Alamance,2020-04-10,33.0,4.0
Alamance,2020-04-11,34.0,1.0
Alamance,2020-04-12,36.0,2.0
Alamance,2020-04-13,41.0,5.0
Alamance,2020-04-14,41.0,0.0
Alamance,2020-04-15,42.0,1.0
Alamance,2020-04-16,45.0,3.0
Alamance,2020-04-17,48.0,3.0
Alamance,2020-04-18,47.0,0.0
Alamance,2020-04-19,49.0,2.0
Alamance,2020-04-20,49.0,0.0
Alamance,2020-04-21,52.0,3.0
Alamance,2020-04-22,55.0,3.0
Alamance,2020-04-23,63.0,8.0
Alamance,2020-04-24,73.0,10.0
Alamance,2020-04-25,77.0,4.0
Alamance,2020-04-26,82.0,5.0
Alamance,2020-04-27,91.0,9.0
Alamance,2020-04-28,92.0,1.0
Alamance,2020-04-29,95.0,3.0
Alamance,2020-04-30,99.0,4.0
Alamance,2020-05-01,106.0,7.0
Alamance,2020-05-02,121.0,15.0
Alamance,2020-05-03,124.0,3.0
Alamance,2020-05-04,128.0,4.0
Alamance,2020-05-05,126.0,0.0
Alamance,2020-05-06,128.0,2.0
Alamance,2020-05-07,143.0,15.0
Alamance,2020-05-08,149.0,6.0
Alamance,2020-05-09,152.0,3.0
Alamance,2020-05-10,172.0,20.0
Alamance,2020-05-11,178.0,6.0
Alamance,2020-05-12,180.0,2.0
Alamance,2020-05-13,181.0,1.0
Alamance,2020-05-14,190.0,9.0
Alamance,2020-05-15,195.0,5.0
Alamance,2020-05-16,203.0,8.0
Alamance,2020-05-17,207.0,4.0
Alamance,2020-05-18,215.0,8.0
Alamance,2020-05-19,223.0,8.0
Alamance,2020-05-20,229.0,6.0
Alamance,2020-05-21,236.0,7.0
Alamance,2020-05-22,246.0,10.0
Alamance,2020-05-23,257.0,11.0
Alamance,2020-05-24,261.0,4.0
Alamance,2020-05-25,282.0,21.0
Alamance,2020-05-26,282.0,0.0
Alamance,2020-05-27,282.0,0.0
Alamance,2020-05-28,293.0,11.0
Alamance,2020-05-29,307.0,14.0
Alamance,2020-05-30,329.0,22.0
Alamance,2020-05-31,349.0,20.0
Alamance,2020-06-01,364.0,15.0
Alamance,2020-06-02,368.0,4.0
Alamance,2020-06-03,382.0,14.0
Alamance,2020-06-04,398.0,16.0
Alamance,2020-06-05,427.0,29.0
Alamance,2020-06-06,451.0,24.0
Alamance,2020-06-07,465.0,14.0
Alamance,2020-06-08,494.0,29.0
Alamance,2020-06-09,519.0,25.0
Alamance,2020-06-10,544.0,25.0
Alamance,2020-06-11,581.0,37.0
Alamance,2020-06-12,641.0,60.0
Alamance,2020-06-13,700.0,59.0
Alamance,2020-06-14,742.0,42.0
Alamance,2020-06-15,778.0,36.0
Alamance,2020-06-16,796.0,18.0
Alamance,2020-06-17,810.0,14.0
Alamance,2020-06-18,838.0,28.0
Alamance,2020-06-19,883.0,45.0
Alamance,2020-06-20,919.0,36.0
Alamance,2020-06-21,939.0,20.0
Alamance,2020-06-22,946.0,7.0
Alamance,2020-06-23,969.0,23.0
Alamance,2020-06-24,994.0,25.0
Alamance,2020-06-25,1009.0,15.0
Alamance,2020-06-26,1032.0,23.0
Alamance,2020-06-27,1066.0,34.0
Alamance,2020-06-28,1088.0,22.0
Alamance,2020-06-29,1114.0,26.0
Alamance,2020-06-30,1121.0,7.0
Alamance,2020-07-01,1151.0,30.0
Alamance,2020-07-02,1179.0,28.0
Alamance,2020-07-03,1207.0,28.0
Alamance,2020-07-04,1240.0,33.0
Alamance,2020-07-05,1274.0,34.0
Alamance,2020-07-06,1292.0,18.0
Alamance,2020-07-07,1309.0,17.0
Alamance,2020-07-08,1319.0,10.0
Alamance,2020-07-09,1357.0,38.0
Alamance,2020-07-10,1388.0,31.0
Alamance,2020-07-11,1401.0,13.0
Alamance,2020-07-12,1428.0,27.0
Alamance,2020-07-13,1460.0,32.0
Alamance,2020-07-14,1492.0,32.0
Alamance,2020-07-15,1535.0,43.0
Alamance,2020-07-16,1569.0,34.0
Alamance,2020-07-17,1607.0,38.0
Alamance,2020-07-18,1648.0,41.0
Alamance,2020-07-19,1684.0,36.0
Alamance,2020-07-20,1718.0,34.0
Alamance,2020-07-21,1755.0,37.0
Alamance,2020-07-22,1809.0,54.0
Alamance,2020-07-23,1842.0,33.0
Alamance,2020-07-24,1896.0,54.0
Alamance,2020-07-25,1920.0,24.0
Alamance,2020-07-26,1954.0,34.0
Alamance,2020-07-27,1973.0,19.0
Alamance,2020-07-28,2029.0,56.0
Alamance,2020-07-29,2066.0,37.0
Alamance,2020-07-30,2101.0,35.0
Alamance,2020-07-31,2148.0,47.0
Alamance,2020-08-01,2189.0,41.0
Alamance,2020-08-02,2207.0,18.0
Alamance,2020-08-03,2248.0,41.0
Alamance,2020-08-04,2280.0,32.0
Alamance,2020-08-05,2298.0,18.0
Alamance,2020-08-06,2343.0,45.0
Alamance,2020-08-07,2365.0,22.0
Alamance,2020-08-08,2396.0,31.0
Alamance,2020-08-09,2448.0,52.0
Alamance,2020-08-10,2472.0,24.0
Alamance,2020-08-11,2496.0,24.0
Alamance,2020-08-12,2526.0,30.0
Alamance,2020-08-13,2567.0,41.0
Alamance,2020-08-14,2586.0,19.0
Alamance,2020-08-15,2612.0,26.0
Alamance,2020-08-16,2639.0,27.0
Alamance,2020-08-17,2653.0,14.0
Alamance,2020-08-18,2681.0,28.0
Alamance,2020-08-19,2698.0,17.0
Alamance,2020-08-20,2726.0,28.0
Alamance,2020-08-21,2786.0,60.0
Alamance,2020-08-22,2838.0,52.0
Alamance,2020-08-23,2876.0,38.0
Alamance,2020-08-24,2921.0,45.0
Alamance,2020-08-25,2931.0,10.0
Alamance,2020-08-26,2955.0,24.0
Alamance,2020-08-27,3012.0,57.0
Alamance,2020-08-28,3027.0,15.0
Alamance,2020-08-29,3076.0,49.0
Alamance,2020-08-30,3100.0,24.0
Alamance,2020-08-31,3209.0,109.0
Alamance,2020-09-01,3243.0,34.0
Alamance,2020-09-02,3259.0,16.0
Alamance,2020-09-03,3294.0,35.0
Alamance,2020-09-04,3334.0,40.0
Alamance,2020-09-05,3379.0,45.0
Alamance,2020-09-06,3391.0,12.0
Alamance,2020-09-07,3417.0,26.0
Alamance,2020-09-08,3428.0,11.0
Alamance,2020-09-09,3431.0,3.0
Alamance,2020-09-10,3452.0,21.0
Alamance,2020-09-11,3502.0,50.0
Alamance,2020-09-12,3526.0,24.0
Alamance,2020-09-13,3558.0,32.0
Alamance,2020-09-14,3573.0,15.0
Alamance,2020-09-15,3584.0,11.0
Alamance,2020-09-16,3601.0,17.0
Alamance,2020-09-17,3630.0,29.0
Alamance,2020-09-18,3668.0,38.0
Alamance,2020-09-19,3695.0,27.0
Alamance,2020-09-20,3728.0,33.0
Alamance,2020-09-21,3749.0,21.0
Alamance,2020-09-22,3771.0,22.0
Alamance,2020-09-23,3793.0,22.0
Alamance,2020-09-24,3837.0,44.0
Alamance,2020-09-25,3844.0,0.0
Alamance,2020-09-26,3879.0,35.0
Alamance,2020-09-27,3897.0,18.0
Alamance,2020-09-28,3913.0,16.0
Alamance,2020-09-29,3925.0,12.0
Alamance,2020-09-30,3940.0,15.0
Alamance,2020-10-01,3981.0,41.0
Alamance,2020-10-02,4044.0,63.0
Alamance,2020-10-03,4080.0,36.0
Alamance,2020-10-04,4084.0,4.0
Alamance,2020-10-05,4118.0,34.0
Alamance,2020-10-06,4135.0,17.0
Alamance,2020-10-07,4167.0,32.0
Alamance,2020-10-08,4250.0,83.0
Alamance,2020-10-09,4277.0,27.0
Alamance,2020-10-10,4340.0,63.0
Alamance,2020-10-11,4389.0,49.0
Alamance,2020-10-12,4427.0,38.0
Alamance,2020-10-13,4475.0,48.0
Alamance,2020-10-14,4518.0,43.0
Alamance,2020-10-15,4543.0,25.0
Alamance,2020-10-16,4638.0,95.0
Alamance,2020-10-17,4720.0,82.0
Alamance,2020-10-18,4753.0,33.0
Alamance,2020-10-19,4778.0,25.0
Alamance,2020-10-20,4791.0,13.0
Alamance,2020-10-21,4815.0,24.0
Alamance,2020-10-22,4862.0,47.0
Alamance,2020-10-23,4905.0,43.0
Alamance,2020-10-24,4964.0,59.0
Alamance,2020-10-25,5011.0,47.0
Alamance,2020-10-26,5058.0,47.0
Alamance,2020-10-27,5110.0,52.0
Alamance,2020-10-28,5144.0,34.0
Alamance,2020-10-29,5217.0,73.0
Alamance,2020-10-30,5278.0,61.0
Alamance,2020-10-31,5339.0,61.0
Alamance,2020-11-01,5372.0,33.0
Alamance,2020-11-02,5400.0,28.0
Alamance,2020-11-03,5427.0,27.0
Alamance,2020-11-04,5456.0,29.0
Alamance,2020-11-05,5514.0,58.0
Alamance,2020-11-06,5572.0,58.0
Alamance,2020-11-07,5609.0,37.0
Alamance,2020-11-08,5667.0,58.0
Alamance,2020-11-09,5701.0,34.0
Alamance,2020-11-10,5732.0,31.0
Alamance,2020-11-11,5797.0,65.0
Alamance,2020-11-12,5871.0,74.0
Alamance,2020-11-13,5894.0,23.0
Alamance,2020-11-14,5969.0,75.0
Alamance,2020-11-15,6032.0,63.0
Alamance,2020-11-16,6073.0,41.0
Alamance,2020-11-17,6160.0,87.0
Alamance,2020-11-18,6223.0,63.0
Alamance,2020-11-19,6269.0,46.0
Alamance,2020-11-20,6392.0,123.0
Alamance,2020-11-21,6436.0,44.0
Alamance,2020-11-22,6577.0,141.0
Alamance,2020-11-23,6608.0,31.0
Alamance,2020-11-24,6702.0,94.0
Alamance,2020-11-25,6789.0,87.0
Alamance,2020-11-26,6789.0,0.0
Alamance,2020-11-27,6996.0,207.0
Alamance,2020-11-28,7060.0,64.0
Alamance,2020-11-29,7123.0,63.0
Alamance,2020-11-30,7171.0,48.0
Alamance,2020-12-01,7212.0,41.0
Alamance,2020-12-02,7275.0,63.0
Alamance,2020-12-03,7368.0,93.0
Alamance,2020-12-04,7480.0,112.0
Alamance,2020-12-05,7628.0,148.0
Alamance,2020-12-06,7748.0,120.0
Alamance,2020-12-07,7873.0,125.0
Alamance,2020-12-08,7952.0,79.0
Alamance,2020-12-09,8057.0,105.0
Alamance,2020-12-10,8150.0,93.0
Alamance,2020-12-11,8283.0,133.0
Alamance,2020-12-12,8368.0,85.0
Alamance,2020-12-13,8455.0,87.0
Alamance,2020-12-14,8595.0,140.0
Alamance,2020-12-15,8696.0,101.0
Alamance,2020-12-16,8809.0,113.0
Alamance,2020-12-17,8882.0,73.0
Alamance,2020-12-18,9045.0,163.0
