County,pop_0,pop_1,pop_2,reported_0,reported_1,reported_2,adjusted_0,adjusted_1,adjusted_2
Alamance,106370,36582,28243,0.4168986306282077,0.6191417780816084,0.883115171852101,0.4814965138941592,0.6656978426854241,0.9348137028566235
Alexander,21883,8926,7769,0.26349220856372524,0.5008962581223393,0.6985455013515253,0.3043199726286706,0.5385609084148921,0.7394391213580216
Alleghany,6528,3215,2820,0.33088235294117646,0.464696734059098,0.883115171852101,0.38215212942820737,0.49963937876169134,0.9348137028566235
Anson,16492,5691,4746,0.2515158864904196,0.5431382885257424,0.7640117994100295,0.2904879355243967,0.5839793077310033,0.8087378883263633
Ashe,16909,7359,7198,0.3023242060441185,0.4995243919010735,0.7383995554320645,0.34916893599941057,0.5370858853809446,0.7816262754873546
Avery,8731,4192,3845,0.39033329515519416,0.5374522900763359,0.8720416124837451,0.4508149153448657,0.5778657533961452,0.9230918851743098
Beaufort,25496,12109,11130,0.3115782867900847,0.5373688991659097,0.883115171852101,0.35985692413639125,0.5777760919468042,0.9348137028566235
Bertie,9878,5155,4483,0.33346831342377,0.5602327837051406,0.7912112424715593,0.3851387810167737,0.6023592151537936,0.8375296166245663
Bladen,21797,8655,7277,0.2734780015598477,0.4708261120739457,0.7562182217946957,0.3158530508468852,0.5062296523725762,0.8004880661272823
Brunswick,60963,33111,37148,0.38026343847907745,0.6191417780816084,0.883115171852101,0.4391847478922697,0.6656978426854241,0.9348137028566235
Buncombe,149913,59432,50889,0.4168986306282077,0.5971530488625656,0.883115171852101,0.4814965138941592,0.6420556816768976,0.9348137028566235
Burke,53237,21430,18245,0.3052200537220354,0.5066728884741017,0.7097286927925459,0.35251349138829347,0.5447719096738841,0.7512769890948086
Cabarrus,142420,42792,27734,0.4168986306282077,0.6191417780816084,0.8563496069806015,0.4814965138941592,0.6656978426854241,0.9064812524536924
Caldwell,49396,20660,16641,0.27342294922665805,0.5184414327202324,0.8006730364761733,0.3157894682285575,0.5574253838756598,0.8475453144305158
