Date,County,First_Doses_Administered,Daily_First_Doses
2020-12-13,Alamance,0,0.0
2020-12-13,Alexander,0,0.0
2020-12-13,Alleghany,0,0.0
2020-12-13,Anson,0,0.0
2020-12-13,Ashe,0,0.0
2020-12-13,Avery,0,0.0
2020-12-13,Beaufort,0,0.0
2020-12-13,Bertie,0,0.0
2020-12-13,Bladen,0,0.0
2020-12-13,Brunswick,0,0.0
2020-12-13,Buncombe,0,0.0
2020-12-13,Burke,0,0.0
2020-12-13,Cabarrus,0,0.0
2020-12-13,Caldwell,0,0.0
2020-12-13,Camden,0,0.0
2020-12-13,Carteret,0,0.0
2020-12-13,Caswell,0,0.0
2020-12-13,Catawba,0,0.0
2020-12-13,Chatham,0,0.0
2020-12-13,Cherokee,0,0.0
2020-12-13,Chowan,0,0.0
2020-12-13,Clay,0,0.0
2020-12-13,Cleveland,0,0.0
2020-12-13,Columbus,0,0.0
2020-12-13,Craven,0,0.0
2020-12-13,Cumberland,0,0.0
2020-12-13,Currituck,0,0.0
2020-12-13,Dare,0,0.0
2020-12-13,Davidson,0,0.0
2020-12-13,Davie,0,0.0
2020-12-13,Duplin,0,0.0
2020-12-13,Durham,0,0.0
2020-12-13,Edgecombe,0,0.0
2020-12-13,Forsyth,0,0.0
2020-12-13,Franklin,0,0.0
2020-12-13,Gaston,0,0.0
2020-12-13,Gates,0,0.0
2020-12-13,Graham,0,0.0
2020-12-13,Granville,0,0.0
2020-12-13,Greene,0,0.0
2020-12-13,Guilford,0,0.0
2020-12-13,Halifax,0,0.0
2020-12-13,Harnett,0,0.0
2020-12-13,Haywood,0,0.0
2020-12-13,Henderson,0,0.0
2020-12-13,Hertford,0,0.0
2020-12-13,Hoke,0,0.0
2020-12-13,Hyde,0,0.0
2020-12-13,Iredell,0,0.0
2020-12-13,Jackson,0,0.0
2020-12-13,Johnston,0,0.0
2020-12-13,Jones,0,0.0
2020-12-13,Lee,0,0.0
2020-12-13,Lenoir,0,0.0
2020-12-13,Lincoln,0,0.0
2020-12-13,Macon,0,0.0
2020-12-13,Madison,0,0.0
2020-12-13,Martin,0,0.0
2020-12-13,McDowell,0,0.0
2020-12-13,Mecklenburg,0,0.0
2020-12-13,Mitchell,0,0.0
2020-12-13,Montgomery,0,0.0
2020-12-13,Moore,0,0.0
2020-12-13,Nash,0,0.0
2020-12-13,New Hanover,0,0.0
2020-12-13,Northampton,0,0.0
2020-12-13,Onslow,0,0.0
2020-12-13,Orange,0,0.0
2020-12-13,Pamlico,0,0.0
2020-12-13,Pasquotank,0,0.0
2020-12-13,Pender,0,0.0
2020-12-13,Perquimans,0,0.0
2020-12-13,Person,0,0.0
2020-12-13,Pitt,0,0.0
2020-12-13,Polk,0,0.0
2020-12-13,Randolph,0,0.0
2020-12-13,Richmond,0,0.0
2020-12-13,Robeson,0,0.0
2020-12-13,Rockingham,0,0.0
2020-12-13,Rowan,0,0.0
2020-12-13,Rutherford,0,0.0
2020-12-13,Sampson,0,0.0
2020-12-13,Scotland,0,0.0
2020-12-13,Stanly,0,0.0
2020-12-13,Stokes,0,0.0
2020-12-13,Surry,0,0.0
2020-12-13,Swain,0,0.0
2020-12-13,Transylvania,0,0.0
2020-12-13,Tyrrell,0,0.0
2020-12-13,Union,0,0.0
2020-12-13,Vance,0,0.0
2020-12-13,Wake,0,0.0
2020-12-13,Warren,0,0.0
2020-12-13,Washington,0,0.0
2020-12-13,Watauga,0,0.0
2020-12-13,Wayne,0,0.0
2020-12-13,Wilkes,0,0.0
2020-12-13,Wilson,0,0.0
2020-12-13,Yadkin,0,0.0
2020-12-13,Yancey,0,0.0
2020-12-14,Alamance,0,0.0
2020-12-14,Alexander,0,0.0
2020-12-14,Alleghany,0,0.0
2020-12-14,Anson,0,0.0
2020-12-14,Ashe,0,0.0
2020-12-14,Avery,0,0.0
2020-12-14,Beaufort,0,0.0
2020-12-14,Bertie,0,0.0
2020-12-14,Bladen,0,0.0
2020-12-14,Brunswick,0,0.0
2020-12-14,Buncombe,0,0.0
2020-12-14,Burke,0,0.0
2020-12-14,Cabarrus,0,0.0
2020-12-14,Caldwell,0,0.0
2020-12-14,Camden,0,0.0
2020-12-14,Carteret,0,0.0
2020-12-14,Caswell,0,0.0
2020-12-14,Catawba,0,0.0
2020-12-14,Chatham,0,0.0
2020-12-14,Cherokee,0,0.0
2020-12-14,Chowan,0,0.0
2020-12-14,Clay,0,0.0
2020-12-14,Cleveland,0,0.0
2020-12-14,Columbus,0,0.0
2020-12-14,Craven,0,0.0
2020-12-14,Cumberland,0,0.0
2020-12-14,Currituck,0,0.0
2020-12-14,Dare,0,0.0
2020-12-14,Davidson,0,0.0
2020-12-14,Davie,0,0.0
2020-12-14,Duplin,0,0.0
2020-12-14,Durham,0,0.0
2020-12-14,Edgecombe,0,0.0
2020-12-14,Forsyth,0,0.0
2020-12-14,Franklin,0,0.0
2020-12-14,Gaston,0,0.0
2020-12-14,Gates,0,0.0
2020-12-14,Graham,0,0.0
2020-12-14,Granville,0,0.0
2020-12-14,Greene,0,0.0
2020-12-14,Guilford,0,0.0
2020-12-14,Halifax,0,0.0
2020-12-14,Harnett,0,0.0
2020-12-14,Haywood,0,0.0
2020-12-14,Henderson,0,0.0
2020-12-14,Hertford,0,0.0
2020-12-14,Hoke,0,0.0
2020-12-14,Hyde,0,0.0
2020-12-14,Iredell,0,0.0
2020-12-14,Jackson,0,0.0
2020-12-14,Johnston,0,0.0
2020-12-14,Jones,0,0.0
2020-12-14,Lee,0,0.0
2020-12-14,Lenoir,0,0.0
2020-12-14,Lincoln,0,0.0
2020-12-14,Macon,0,0.0
2020-12-14,Madison,0,0.0
2020-12-14,Martin,0,0.0
2020-12-14,McDowell,0,0.0
2020-12-14,Mecklenburg,0,0.0
2020-12-14,Mitchell,0,0.0
2020-12-14,Montgomery,0,0.0
2020-12-14,Moore,0,0.0
2020-12-14,Nash,0,0.0
2020-12-14,New Hanover,0,0.0
2020-12-14,Northampton,0,0.0
2020-12-14,Onslow,0,0.0
2020-12-14,Orange,0,0.0
2020-12-14,Pamlico,0,0.0
2020-12-14,Pasquotank,0,0.0
2020-12-14,Pender,0,0.0
2020-12-14,Perquimans,0,0.0
2020-12-14,Person,0,0.0
2020-12-14,Pitt,0,0.0
2020-12-14,Polk,0,0.0
2020-12-14,Randolph,0,0.0
2020-12-14,Richmond,0,0.0
2020-12-14,Robeson,0,0.0
2020-12-14,Rockingham,0,0.0
2020-12-14,Rowan,0,0.0
2020-12-14,Rutherford,0,0.0
2020-12-14,Sampson,0,0.0
2020-12-14,Scotland,0,0.0
2020-12-14,Stanly,0,0.0
2020-12-14,Stokes,0,0.0
2020-12-14,Surry,0,0.0
2020-12-14,Swain,0,0.0
2020-12-14,Transylvania,0,0.0
2020-12-14,Tyrrell,0,0.0
2020-12-14,Union,0,0.0
2020-12-14,Vance,0,0.0
2020-12-14,Wake,0,0.0
2020-12-14,Warren,0,0.0
2020-12-14,Washington,0,0.0
2020-12-14,Watauga,0,0.0
2020-12-14,Wayne,0,0.0
2020-12-14,Wilkes,0,0.0
2020-12-14,Wilson,0,0.0
2020-12-14,Yadkin,0,0.0
2020-12-14,Yancey,0,0.0
2020-12-15,Alamance,0,0.0
2020-12-15,Alexander,0,0.0
2020-12-15,Alleghany,0,0.0
2020-12-15,Anson,0,0.0
2020-12-15,Ashe,0,0.0
2020-12-15,Avery,0,0.0
2020-12-15,Beaufort,0,0.0
2020-12-15,Bertie,0,0.0
2020-12-15,Bladen,0,0.0
2020-12-15,Brunswick,0,0.0
2020-12-15,Buncombe,0,0.0
2020-12-15,Burke,0,0.0
2020-12-15,Cabarrus,0,0.0
2020-12-15,Caldwell,0,0.0
2020-12-15,Camden,0,0.0
2020-12-15,Carteret,0,0.0
2020-12-15,Caswell,0,0.0
2020-12-15,Catawba,0,0.0
2020-12-15,Chatham,0,0.0
2020-12-15,Cherokee,0,0.0
2020-12-15,Chowan,0,0.0
2020-12-15,Clay,0,0.0
2020-12-15,Cleveland,0,0.0
2020-12-15,Columbus,0,0.0
2020-12-15,Craven,0,0.0
2020-12-15,Cumberland,0,0.0
2020-12-15,Currituck,0,0.0
2020-12-15,Dare,0,0.0
2020-12-15,Davidson,0,0.0
2020-12-15,Davie,0,0.0
2020-12-15,Duplin,0,0.0
2020-12-15,Durham,0,0.0
2020-12-15,Edgecombe,0,0.0
2020-12-15,Forsyth,0,0.0
2020-12-15,Franklin,0,0.0
2020-12-15,Gaston,0,0.0
2020-12-15,Gates,0,0.0
2020-12-15,Graham,0,0.0
2020-12-15,Granville,0,0.0
2020-12-15,Greene,0,0.0
2020-12-15,Guilford,0,0.0
2020-12-15,Halifax,0,0.0
2020-12-15,Harnett,0,0.0
2020-12-15,Haywood,0,0.0
2020-12-15,Henderson,0,0.0
2020-12-15,Hertford,0,0.0
2020-12-15,Hoke,0,0.0
2020-12-15,Hyde,0,0.0
2020-12-15,Iredell,0,0.0
2020-12-15,Jackson,0,0.0
2020-12-15,Johnston,0,0.0
2020-12-15,Jones,0,0.0
2020-12-15,Lee,0,0.0
2020-12-15,Lenoir,0,0.0
2020-12-15,Lincoln,0,0.0
2020-12-15,Macon,0,0.0
2020-12-15,Madison,0,0.0
2020-12-15,Martin,0,0.0
2020-12-15,McDowell,0,0.0
2020-12-15,Mecklenburg,0,0.0
2020-12-15,Mitchell,0,0.0
2020-12-15,Montgomery,0,0.0
2020-12-15,Moore,0,0.0
2020-12-15,Nash,0,0.0
2020-12-15,New Hanover,0,0.0
2020-12-15,Northampton,0,0.0
2020-12-15,Onslow,0,0.0
2020-12-15,Orange,0,0.0
2020-12-15,Pamlico,0,0.0
2020-12-15,Pasquotank,0,0.0
2020-12-15,Pender,0,0.0
2020-12-15,Perquimans,0,0.0
2020-12-15,Person,0,0.0
2020-12-15,Pitt,0,0.0
2020-12-15,Polk,0,0.0
2020-12-15,Randolph,0,0.0
2020-12-15,Richmond,0,0.0
2020-12-15,Robeson,0,0.0
2020-12-15,Rockingham,0,0.0
2020-12-15,Rowan,0,0.0
2020-12-15,Rutherford,0,0.0
2020-12-15,Sampson,0,0.0
2020-12-15,Scotland,0,0.0
2020-12-15,Stanly,0,0.0
2020-12-15,Stokes,0,0.0
2020-12-15,Surry,0,0.0
2020-12-15,Swain,0,0.0
2020-12-15,Transylvania,0,0.0
2020-12-15,Tyrrell,0,0.0
2020-12-15,Union,0,0.0
2020-12-15,Vance,0,0.0
2020-12-15,Wake,0,0.0
2020-12-15,Warren,0,0.0
2020-12-15,Washington,0,0.0
2020-12-15,Watauga,0,0.0
2020-12-15,Wayne,0,0.0
2020-12-15,Wilkes,0,0.0
2020-12-15,Wilson,0,0.0
2020-12-15,Yadkin,0,0.0
2020-12-15,Yancey,0,0.0
2020-12-16,Alamance,0,0.0
2020-12-16,Alexander,0,0.0
2020-12-16,Alleghany,0,0.0
2020-12-16,Anson,0,0.0
2020-12-16,Ashe,0,0.0
2020-12-16,Avery,0,0.0
2020-12-16,Beaufort,0,0.0
2020-12-16,Bertie,0,0.0
2020-12-16,Bladen,0,0.0
2020-12-16,Brunswick,0,0.0
2020-12-16,Buncombe,0,0.0
2020-12-16,Burke,0,0.0
2020-12-16,Cabarrus,0,0.0
2020-12-16,Caldwell,0,0.0
2020-12-16,Camden,0,0.0
2020-12-16,Carteret,0,0.0
2020-12-16,Caswell,0,0.0
2020-12-16,Catawba,0,0.0
2020-12-16,Chatham,0,0.0
2020-12-16,Cherokee,0,0.0
2020-12-16,Chowan,0,0.0
2020-12-16,Clay,0,0.0
2020-12-16,Cleveland,0,0.0
2020-12-16,Columbus,0,0.0
2020-12-16,Craven,0,0.0
2020-12-16,Cumberland,0,0.0
2020-12-16,Currituck,0,0.0
2020-12-16,Dare,0,0.0
2020-12-16,Davidson,0,0.0
2020-12-16,Davie,0,0.0
2020-12-16,Duplin,0,0.0
2020-12-16,Durham,0,0.0
2020-12-16,Edgecombe,0,0.0
2020-12-16,Forsyth,0,0.0
2020-12-16,Franklin,0,0.0
2020-12-16,Gaston,0,0.0
2020-12-16,Gates,0,0.0
2020-12-16,Graham,0,0.0
2020-12-16,Granville,0,0.0
2020-12-16,Greene,0,0.0
2020-12-16,Guilford,0,0.0
2020-12-16,Halifax,0,0.0
2020-12-16,Harnett,0,0.0
2020-12-16,Haywood,0,0.0
2020-12-16,Henderson,0,0.0
2020-12-16,Hertford,0,0.0
2020-12-16,Hoke,0,0.0
2020-12-16,Hyde,0,0.0
2020-12-16,Iredell,0,0.0
2020-12-16,Jackson,0,0.0
2020-12-16,Johnston,0,0.0
2020-12-16,Jones,0,0.0
2020-12-16,Lee,0,0.0
2020-12-16,Lenoir,0,0.0
2020-12-16,Lincoln,0,0.0
2020-12-16,Macon,0,0.0
2020-12-16,Madison,0,0.0
2020-12-16,Martin,0,0.0
2020-12-16,McDowell,0,0.0
2020-12-16,Mecklenburg,0,0.0
2020-12-16,Mitchell,0,0.0
2020-12-16,Montgomery,0,0.0
2020-12-16,Moore,0,0.0
2020-12-16,Nash,0,0.0
2020-12-16,New Hanover,0,0.0
2020-12-16,Northampton,0,0.0
2020-12-16,Onslow,0,0.0
2020-12-16,Orange,0,0.0
2020-12-16,Pamlico,0,0.0
2020-12-16,Pasquotank,0,0.0
2020-12-16,Pender,0,0.0
2020-12-16,Perquimans,0,0.0
2020-12-16,Person,0,0.0
2020-12-16,Pitt,0,0.0
2020-12-16,Polk,0,0.0
2020-12-16,Randolph,0,0.0
2020-12-16,Richmond,0,0.0
2020-12-16,Robeson,0,0.0
2020-12-16,Rockingham,0,0.0
2020-12-16,Rowan,0,0.0
2020-12-16,Rutherford,0,0.0
2020-12-16,Sampson,0,0.0
2020-12-16,Scotland,0,0.0
2020-12-16,Stanly,0,0.0
2020-12-16,Stokes,0,0.0
2020-12-16,Surry,0,0.0
2020-12-16,Swain,0,0.0
2020-12-16,Transylvania,0,0.0
2020-12-16,Tyrrell,0,0.0
2020-12-16,Union,0,0.0
2020-12-16,Vance,0,0.0
2020-12-16,Wake,0,0.0
2020-12-16,Warren,0,0.0
2020-12-16,Washington,0,0.0
2020-12-16,Watauga,0,0.0
2020-12-16,Wayne,0,0.0
2020-12-16,Wilkes,0,0.0
2020-12-16,Wilson,0,0.0
2020-12-16,Yadkin,0,0.0
2020-12-16,Yancey,0,0.0
2020-12-17,Alamance,0,0.0
2020-12-17,Alexander,0,0.0
2020-12-17,Alleghany,0,0.0
2020-12-17,Anson,0,0.0
2020-12-17,Ashe,0,0.0
2020-12-17,Avery,0,0.0
2020-12-17,Beaufort,0,0.0
2020-12-17,Bertie,0,0.0
2020-12-17,Bladen,0,0.0
2020-12-17,Brunswick,0,0.0
2020-12-17,Buncombe,0,0.0
2020-12-17,Burke,0,0.0
2020-12-17,Cabarrus,0,0.0
2020-12-17,Caldwell,0,0.0
2020-12-17,Camden,0,0.0
2020-12-17,Carteret,0,0.0
2020-12-17,Caswell,0,0.0
2020-12-17,Catawba,0,0.0
2020-12-17,Chatham,0,0.0
2020-12-17,Cherokee,0,0.0
2020-12-17,Chowan,0,0.0
2020-12-17,Clay,0,0.0
2020-12-17,Cleveland,0,0.0
2020-12-17,Columbus,0,0.0
2020-12-17,Craven,0,0.0
2020-12-17,Cumberland,0,0.0
2020-12-17,Currituck,0,0.0
2020-12-17,Dare,0,0.0
2020-12-17,Davidson,0,0.0
2020-12-17,Davie,0,0.0
2020-12-17,Duplin,0,0.0
2020-12-17,Durham,0,0.0
2020-12-17,Edgecombe,0,0.0
2020-12-17,Forsyth,0,0.0
2020-12-17,Franklin,0,0.0
2020-12-17,Gaston,0,0.0
2020-12-17,Gates,0,0.0
2020-12-17,Graham,0,0.0
2020-12-17,Granville,0,0.0
2020-12-17,Greene,0,0.0
2020-12-17,Guilford,0,0.0
2020-12-17,Halifax,0,0.0
2020-12-17,Harnett,0,0.0
2020-12-17,Haywood,0,0.0
2020-12-17,Henderson,0,0.0
2020-12-17,Hertford,0,0.0
2020-12-17,Hoke,0,0.0
2020-12-17,Hyde,0,0.0
2020-12-17,Iredell,0,0.0
