County ,Week of,5-11,12-17,18-24,25-49,50-64,65-74,75+,Missing or Undisclosed,Suppressed
Alamance,12/14/2020,,,,,,,,,
Alamance,12/21/2020,,,,,,,,,
Alamance,12/28/2020,,,,2,1,,,,
Alamance,1/4/2021,,,4,89,32,3,,,1
Alamance,1/11/2021,,,8,308,204,43,1,,1
Alamance,1/18/2021,,,14,247,208,32,,,
Alamance,1/25/2021,,,37,652,483,241,1157,2,
Alamance,2/1/2021,,,35,392,323,161,975,,
Alamance,2/8/2021,,,48,561,503,762,2313,1,
Alamance,2/15/2021,,1,37,311,253,554,1341,1,
Alamance,2/22/2021,,,38,257,223,779,989,,
Alamance,3/1/2021,,,31,315,339,1989,625,,
Alamance,3/8/2021,,,107,631,643,2350,866,,
Alamance,3/15/2021,,,47,518,563,1241,534,,
Alamance,3/22/2021,,,200,1295,1170,1286,596,,
Alamance,3/29/2021,,9,745,1650,1420,404,190,2,
Alamance,4/5/2021,,43,1356,2925,2783,581,218,6,
Alamance,4/12/2021,,79,1078,2752,2943,533,190,2,
Alamance,4/19/2021,,60,629,2039,2170,426,181,1,
Alamance,4/26/2021,,118,527,1553,1571,389,170,,
Alamance,5/3/2021,,100,477,1127,1099,249,124,,
Alamance,5/10/2021,,69,332,783,614,144,69,,
Alamance,5/17/2021,,54,239,650,544,142,85,,
Alamance,5/24/2021,,42,151,463,391,124,64,,
Alamance,5/31/2021,,277,153,469,353,121,56,,
Alamance,6/7/2021,,705,227,633,411,117,71,,
Alamance,6/14/2021,,450,191,544,343,104,51,,
Alamance,6/21/2021,,185,122,370,268,72,43,,
Alamance,6/28/2021,,194,81,242,199,52,37,,
Alamance,7/5/2021,,163,100,273,181,41,33,,
Alamance,7/12/2021,,131,86,242,139,46,30,,
Alamance,7/19/2021,,143,115,235,180,49,34,,
Alamance,7/26/2021,,88,96,243,168,47,21,,
Alamance,8/2/2021,,124,78,220,147,52,30,,
Alamance,8/9/2021,,180,111,308,211,61,23,,
Alamance,8/16/2021,,245,126,448,266,95,54,,
Alamance,8/23/2021,,204,141,574,326,79,59,,
Alamance,8/30/2021,,224,161,568,285,67,37,,
Alamance,9/6/2021,,279,133,497,256,51,21,,
Alamance,9/13/2021,,154,144,539,258,60,24,,
Alamance,9/20/2021,,146,156,594,263,64,37,,
Alamance,9/27/2021,,111,118,445,206,52,26,,
Alamance,10/4/2021,,111,100,347,166,45,24,,
Alamance,10/11/2021,,95,64,271,138,44,17,,
Alamance,10/18/2021,,62,79,231,106,40,12,,
Alamance,10/25/2021,,67,70,249,119,31,13,,
Alamance,11/1/2021,,55,46,201,79,20,8,,
Alamance,11/8/2021,,46,49,157,76,14,9,,
Alamance,11/15/2021,,44,47,183,78,16,13,1,
Alamance,11/22/2021,79,32,38,153,49,11,4,,
Alamance,11/29/2021,693,60,49,163,87,9,13,,
Alamance,12/6/2021,574,66,39,163,57,10,9,,
Alamance,12/13/2021,245,50,48,117,48,5,3,1,
Alamance,12/20/2021,137,29,40,100,40,8,7,,
Alamance,12/27/2021,173,41,44,114,50,7,3,,
Alamance,1/3/2022,176,42,48,120,45,11,5,,
Alamance,1/10/2022,109,27,15,44,21,8,3,,
Alexander,12/14/2020,,,,,,,,,
Alexander,12/21/2020,,,,,,,,,
Alexander,12/28/2020,,,,,,,,,1
Alexander,1/4/2021,,,1,39,30,5,,,
Alexander,1/11/2021,,,4,34,36,4,,,
Alexander,1/18/2021,,,4,41,39,3,2,,
